,Survived,Pclass,Sex,Age,Fare,Embarked,Title,IsAlone,Age*Class
0,0,3,0,1,0,0,1,0,3
1,1,1,1,2,3,1,3,0,2
2,1,3,1,1,1,0,2,1,3
3,1,1,1,2,3,0,3,0,2
4,0,3,0,2,1,0,1,1,6
5,0,3,0,1,1,2,1,1,3
6,0,1,0,3,3,0,1,1,3
7,0,3,0,0,2,0,4,0,0
8,1,3,1,1,1,0,3,0,3
9,1,2,1,0,2,1,3,0,0
10,1,3,1,0,2,0,2,0,0
11,1,1,1,3,2,0,2,1,3
12,0,3,0,1,1,0,1,1,3
13,0,3,0,2,3,0,1,0,6
14,0,3,1,0,0,0,2,1,0
15,1,2,1,3,2,0,3,1,6
16,0,3,0,0,2,2,4,0,0
17,1,2,0,1,1,0,1,1,2
18,0,3,1,1,2,0,3,0,3
19,1,3,1,1,0,1,3,1,3
20,0,2,0,2,2,0,1,1,4
21,1,2,0,2,1,0,1,1,4
22,1,3,1,0,1,2,2,1,0
23,1,1,0,1,3,0,1,1,1
24,0,3,1,0,2,0,2,0,0
25,1,3,1,2,3,0,3,0,6
26,0,3,0,1,0,1,1,1,3
27,0,1,0,1,3,0,1,0,1
28,1,3,1,1,0,2,2,1,3
29,0,3,0,1,0,0,1,1,3
30,0,1,0,2,2,1,5,1,2
31,1,1,1,2,3,1,3,0,2
32,1,3,1,1,0,2,2,1,3
33,0,2,0,66,1,0,1,1,132
34,0,1,0,1,3,1,1,0,1
35,0,1,0,2,3,0,1,0,2
36,1,3,0,1,0,1,1,1,3
37,0,3,0,1,1,0,1,1,3
38,0,3,1,1,2,0,2,0,3
39,1,3,1,0,1,1,2,0,0
40,0,3,1,2,1,0,3,0,6
41,0,2,1,1,2,0,3,0,2
42,0,3,0,1,0,1,1,1,3
43,1,2,1,0,3,1,2,0,0
44,1,3,1,1,0,2,2,1,3
45,0,3,0,1,1,0,1,1,3
46,0,3,0,1,2,2,1,0,3
47,1,3,1,1,0,2,2,1,3
48,0,3,0,1,2,1,1,0,3
49,0,3,1,1,2,0,3,0,3
50,0,3,0,0,3,0,4,0,0
51,0,3,0,1,0,0,1,1,3
52,1,1,1,3,3,1,3,0,3
53,1,2,1,1,2,0,3,0,2
54,0,1,0,65,3,1,1,0,65
55,1,1,0,2,3,0,1,1,2
56,1,2,1,1,1,0,2,1,2
57,0,3,0,1,0,1,1,1,3
58,1,2,1,0,2,0,2,0,0
59,0,3,0,0,3,0,4,0,0
60,0,3,0,1,0,1,1,1,3
61,1,1,1,2,3,0,2,1,2
62,0,1,0,2,3,0,1,0,2
63,0,3,0,0,2,0,4,0,0
64,0,1,0,2,2,1,1,1,2
65,1,3,0,1,2,1,4,0,3
66,1,2,1,1,1,0,3,1,2
67,0,3,0,1,1,0,1,1,3
68,1,3,1,1,1,0,2,0,3
69,0,3,0,1,1,0,1,0,3
70,0,2,0,1,1,0,1,1,2
71,0,3,1,0,3,0,2,0,0
72,0,2,0,1,3,0,1,1,2
73,0,3,0,1,2,1,1,0,3
74,1,3,0,1,3,0,1,1,3
75,0,3,0,1,0,0,1,1,3
76,0,3,0,1,0,0,1,1,3
77,0,3,0,1,1,0,1,1,3
78,1,2,0,0,2,0,4,0,0
79,1,3,1,1,1,0,2,1,3
80,0,3,0,1,1,0,1,1,3
81,1,3,0,1,1,0,1,1,3
82,1,3,1,1,0,2,2,1,3
83,0,1,0,1,3,0,1,1,1
84,1,2,1,1,1,0,2,1,2
85,1,3,1,2,2,0,3,0,6
86,0,3,0,0,3,0,1,0,0
87,0,3,0,1,1,0,1,1,3
88,1,1,1,1,3,0,2,0,1
89,0,3,0,1,1,0,1,1,3
90,0,3,0,1,1,0,1,1,3
91,0,3,0,1,0,0,1,1,3
92,0,1,0,2,3,0,1,0,2
93,0,3,0,1,2,0,1,0,3
94,0,3,0,3,0,0,1,1,9
95,0,3,0,1,1,0,1,1,3
96,0,1,0,71,3,1,1,1,71
97,1,1,0,1,3,1,1,0,1
98,1,2,1,2,2,0,3,0,4
99,0,2,0,2,2,0,1,0,4
100,0,3,1,1,0,0,2,1,3
101,0,3,0,1,0,0,1,1,3
102,0,1,0,1,3,0,1,0,1
103,0,3,0,2,1,0,1,1,6
104,0,3,0,2,1,0,1,0,6
105,0,3,0,1,0,0,1,1,3
106,1,3,1,1,0,0,2,1,3
107,1,3,0,1,0,0,1,1,3
108,0,3,0,2,0,0,1,1,6
109,1,3,1,1,2,2,2,0,3
110,0,1,0,2,3,0,1,1,2
111,0,3,1,0,2,1,2,0,0
112,0,3,0,1,1,0,1,1,3
113,0,3,1,1,1,0,2,0,3
114,0,3,1,1,2,1,2,1,3
115,0,3,0,1,1,0,1,1,3
116,0,3,0,70,0,2,1,1,210
117,0,2,0,1,2,0,1,0,2
118,0,1,0,1,3,1,1,0,1
119,0,3,1,0,3,0,2,0,0
120,0,2,0,1,3,0,1,0,2
121,0,3,0,1,1,0,1,1,3
122,0,2,0,1,2,1,1,0,2
123,1,2,1,1,1,0,2,1,2
124,0,1,0,3,3,0,1,0,3
125,1,3,0,0,1,1,4,0,0
126,0,3,0,1,0,2,1,1,3
127,1,3,0,1,0,0,1,1,3
128,1,3,1,1,2,1,2,0,3
129,0,3,0,2,0,0,1,1,6
130,0,3,0,2,0,1,1,1,6
131,0,3,0,1,0,0,1,1,3
132,0,3,1,2,2,0,3,0,6
133,1,2,1,1,2,0,3,0,2
134,0,2,0,1,1,0,1,1,2
135,0,2,0,1,2,1,1,1,2
136,1,1,1,1,2,0,2,0,1
137,0,1,0,2,3,0,1,0,2
138,0,3,0,0,1,0,1,1,0
139,0,1,0,1,3,1,1,1,1
140,0,3,1,1,2,1,3,0,3
141,1,3,1,1,0,0,2,1,3
142,1,3,1,1,2,0,3,0,3
143,0,3,0,1,0,2,1,1,3
144,0,2,0,1,1,0,1,1,2
145,0,2,0,1,3,0,1,0,2
146,1,3,0,1,0,0,1,1,3
147,0,3,1,0,3,0,2,0,0
148,0,2,0,2,2,0,1,0,4
149,0,2,0,2,1,0,5,1,4
150,0,2,0,3,1,0,5,1,6
151,1,1,1,1,3,0,3,0,1
152,0,3,0,3,1,0,1,1,9
153,0,3,0,2,2,0,1,0,6
154,0,3,0,1,0,0,1,1,3
155,0,1,0,3,3,1,1,0,3
156,1,3,1,0,0,2,2,1,0
157,0,3,0,1,1,0,1,1,3
158,0,3,0,1,1,0,1,1,3
159,0,3,0,1,3,0,4,0,3
160,0,3,0,2,2,0,1,0,6
161,1,2,1,2,2,0,3,1,4
162,0,3,0,1,0,0,1,1,3
163,0,3,0,1,1,0,1,1,3
164,0,3,0,0,3,0,4,0,0
165,1,3,0,0,2,0,4,0,0
166,1,1,1,2,3,0,3,0,2
167,0,3,1,2,2,0,3,0,6
168,0,1,0,2,2,0,1,1,2
169,0,3,0,1,3,0,1,1,3
170,0,1,0,3,3,0,1,1,3
171,0,3,0,0,2,2,4,0,0
172,1,3,1,0,1,0,2,0,0
173,0,3,0,1,1,0,1,1,3
174,0,1,0,3,2,1,1,1,3
175,0,3,0,1,0,0,1,0,3
176,0,3,0,1,2,0,4,0,3
177,0,1,1,3,2,1,2,1,3
178,0,2,0,1,1,0,1,1,2
179,0,3,0,2,0,0,1,1,6
180,0,3,1,1,3,0,2,0,3
181,0,2,0,1,2,1,1,1,2
182,0,3,0,0,3,0,4,0,0
183,1,2,0,0,3,0,4,0,0
184,1,3,1,0,2,0,2,0,0
185,0,1,0,2,3,0,1,1,2
186,1,3,1,1,2,2,3,0,3
187,1,1,0,2,2,0,1,1,2
188,0,3,0,2,2,2,1,0,6
189,0,3,0,2,0,0,1,1,6
190,1,2,1,1,1,0,3,1,2
191,0,2,0,1,1,0,1,1,2
192,1,3,1,1,0,0,2,0,3
193,1,2,0,0,2,0,4,0,0
194,1,1,1,2,2,1,3,1,2
195,1,1,1,3,3,1,2,1,3
196,0,3,0,1,0,2,1,1,3
197,0,3,0,2,1,0,1,0,6
198,1,3,1,1,0,2,2,1,3
199,0,2,1,1,1,0,2,1,2
200,0,3,0,1,1,0,1,1,3
201,0,3,0,1,3,0,1,0,3
202,0,3,0,2,0,0,1,1,6
203,0,3,0,2,0,1,1,1,6
204,1,3,0,1,1,0,1,1,3
205,0,3,1,0,1,0,2,0,0
206,0,3,0,1,2,0,1,0,3
207,1,3,0,1,2,1,1,1,3
208,1,3,1,0,0,2,2,1,0
209,1,1,0,2,2,1,1,1,2
210,0,3,0,1,0,0,1,1,3
211,1,2,1,2,2,0,2,1,4
212,0,3,0,1,0,0,1,1,3
213,0,2,0,1,1,0,1,1,2
214,0,3,0,1,0,2,1,0,3
215,1,1,1,1,3,1,2,0,1
216,1,3,1,1,1,0,2,1,3
